Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,3 - Medium,APPS-15622,22501607,[APPSDEV-4861] Reassigning a Disclosure - CBP-10200 system error message when trying to assign a disclosure,philip.blair,philip.blair,Resolved,APPS 4.9.0.1,,,,,,,,,APPS 4.9,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,4.9,04/Nov/2019 06:16 PM,Fixed
Defect,3 - Medium,APPS-15621,22501199,Updating AML Alert Status doesn't Update the Workflow Workitem Status of Its Detections,samuel.rompas,samuel.rompas,Rejected,,,,,,,,,,APPS 4.8,,,,,,,,,,,AML Detection,Command and Control,,,,,,,,,,,,,,7.6.0.5,30/Oct/2019 02:38 AM,Done
Defect,3 - Medium,APPS-15620,22501189,What file formats do we support in doc attach workflow,,EShirley,Closed,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,6.1.2,29/Oct/2019 05:47 PM,Won't Fix
Defect,3 - Medium,APPS-15619,22501095,Customer Identification record  does not display on UI if the IDENTIFICATION_ID is greater than 100,KYadav,rramanan,New,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,188,29/Oct/2019 06:20 AM,
Defect,2 - High,APPS-15616,22500838,AML Detection Scenarios - DS36 and DS37,GRamachandran,CChoo,Need More Info,,,,,,,,,,APPS 4.8,,,,,,,,,,,AML Detection,,,,,,,,,,,,,,,7.6.0.10,25/Oct/2019 06:11 AM,
Defect,3 - Medium,APPS-15614,22499921,CDD - Risk level transitions are missing for ConnectedPartyCDD entity,kslawinski,kslawinski,Rejected,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,Apps 5.0.1,17/Oct/2019 02:20 PM,Project Config Issue
Defect,2 - High,APPS-15613,22499761,[PLAT-22830]Full List of Transactions Not Displayed under List View,dchee,emilyongws,Need More Info,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,Investigator - Transactions,,,,,,,,,,,,,,,5.0.1,16/Oct/2019 07:06 AM,
Defect,3 - Medium,APPS-15612,22499728,"[HAR-256] - NetReveal is incorrectly showing transactions for that Customer ID, when those transactions should only be associated with the New customer ID. ",,adrian.berski,Closed,,,,,,,,,,,,,,,,,,,,,Transaction Monitoring,,,,,,,,,,,,,,,6.7.2.0,15/Oct/2019 03:52 PM,Fixed
Defect,3 - Medium,APPS-15611,22499166,Duplicate score_id found in ALERT_DETAILS_CDD,,WKhuan,Closed,,,,,,,,,,APPS 4.8,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,7.6.0.6,11/Oct/2019 04:42 AM,Answered
Defect,3 - Medium,APPS-15609,22498874,CLONE - Detections not read properly on Data Source AccountUpdate in SMBD,,rudolf.andruch,Closed,,,,,,,,,,APPS 5.0.1,,,,,,,,,,,AML Detection,,,,,,,,,,,,,,,5.0.1,09/Oct/2019 02:43 PM,Duplicate
Defect,4 - Low,APPS-15606,22498200,[APPSDEV-5242][APPS 2.3]FinCEN SAR Preview using different parameters,LKonieczka,cathy.yan,New,,,,,,,,,,APPS 2.3,,,,,,,,,,,Investigator - Disclosures Framework,,,,,,,,,,,,,,,6.1.2.119,03/Oct/2019 04:18 PM,
Defect,3 - Medium,APPS-15604,22498102,SM DUX - opening profile with more than 30 virtual fields,bartlomiej.nowicki,bartlomiej.nowicki,Rejected,,,,,,,,,,APPS 5.0,,,,,,,,,,,DUX,,,,,,,,,,,,,,,APPS 5.0,03/Oct/2019 08:39 AM,Duplicate
Defect,3 - Medium,APPS-15603,22497786,CDD rescore throws error when tab sign is in any filed ,KRotter,KRotter,Rejected,,,,,,,,,,APPS 4.7,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,7.5.0.10,30/Sep/2019 02:55 PM,Done
Defect,3 - Medium,APPS-15602,22497338,Ant Installer does not update sql files when nodelete is on,DTurowski,adam.bullock,New,,,,,,,,,,APPS 4.7,,,,,,,,,,,Build Delivery and Build Notes ,Installation,,,,,,,,,,,,,,c1.0.6.1,26/Sep/2019 09:07 AM,
Defect,3 - Medium,APPS-15601,22497297,CLONE -  Back arrow does not work after navigating to the homepage,stefano.silva,stefano.silva,Rejected,,,,,,,,,,APPS 4.7,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,7.5.0.12,25/Sep/2019 04:40 PM,Cannot Reproduce
Defect,3 - Medium,APPS-15600,22496906,"[HAR-265] - SAR PDF is displaying warning ""Suspicious Activity Information Narrative is Invalid"" when certain special characters are entered into disclosure form narrative. ",,KYalamarthi,Closed,,,,,,,,,,APPS 3.2,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,6.7.2.0,23/Sep/2019 07:35 PM,Not an issue
Defect,3 - Medium,APPS-15597,22495587,"CLONE - Unable to display disclosure when using the ""preview"" button",jasmine.martinez,jasmine.martinez,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,4.9,10/Sep/2019 05:40 PM,Not an issue
Defect,4 - Low,APPS-15592,22494812,[Screen]Other Details column in search results of My Alerts and All Alerts - The search box above the column does not filter any information in the balloon. The same issue is with Related Cases column.,KYadav,lan.doan,New,,,,,,,,,,APPS 4.7,,,,,,,,,,,Investigator - Screens,,,,,,,,,,,,,,,c1.0.5,03/Sep/2019 02:29 PM,
Defect,3 - Medium,APPS-15591,22494471,CLONE - My Active Cases - Column names in Exported file are incorrect,KYadav,harika.kurada,New,,,,,,,,,,APPS 4.6,,,,,,,,,,,Investigator - Cases,,,,,,,,,,,,,,,7.2.0.14,29/Aug/2019 05:47 AM,
Defect,4 - Low,APPS-15590,22493955,[Screen]BO>Customer>Transactions - Search by transaction value does not show expected result,KYadav,lan.doan,New,,,,,,,,,,APPS 4.7,,,,,,,,,,,Investigator - Screens,,,,,,,,,,,,,,,c1.0.5,23/Aug/2019 10:47 AM,
Defect,3 - Medium,APPS-15586,22493414,CLONE - [HSUCM-357] Assign Next Case re-assigned case already assigned to a different user,,FGouw,Rejected,,,,,,,,,,APPS 4.6,,,,,,,,,,,Database ,,,,,,,,,,,,,,,7.5.0.11,19/Aug/2019 08:35 AM,Project Config Issue
Defect,2 - High,APPS-15584,22493324,[BMOSUP-371] - User not able to remove content from customer profile,,adrian.berski,Rejected,,,,,,,,,,,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,	7.4.0.14,15/Aug/2019 05:50 PM,Project Config Issue
Defect,4 - Low,APPS-15583,22493180,Incorrect Type filtering when plotting C&C reports without specifying category,KYadav,lan.doan,New,,,,,,,,,,APPS 4.7,,,,,,,,,,,Command and Control,,,,,,,,,,,,,,,c1.0.6,14/Aug/2019 11:37 AM,
Defect,4 - Low,APPS-15582,22493174,Permission allows for too much.,,jakub.hamerlinski,Rejected,,,,,,,,,,APPS 5.0,,,,,,,,,,,workflows,,,,,,,,,,,,,,,APPS 5.0.0.0 PLAT 8.0.0.2,14/Aug/2019 10:33 AM,Won't Do
Defect,4 - Low,APPS-15581,22492882,[APPSDEV-4800][Workflow on My Active Alerts screen] CDD-Customer Acceptance alert Link to related case,KYadav,lan.doan,New,,,,,,,,,,APPS 4.7,,,,,,,,,,,Investigator - Workflow,,,,,,,,,,,,,,,c1.0.5,12/Aug/2019 04:18 PM,
Defect,3 - Medium,APPS-15578,22492614,Locked DUX SM configuration cannot be unlocked via Lock Manager,MCashman,DKnyazev,New,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML,,,,,,,,,,,,,,,7.7.0.6,08/Aug/2019 10:17 PM,
Defect,2 - High,APPS-15576,22492552,CLONE - SWIFT message details DO NOT refresh ,KOReilly,suriya.narayanan,Need More Info,,,,,,,,,,APPS 4.8,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,7.6.0.11,08/Aug/2019 08:58 AM,
Defect,3 - Medium,APPS-15574,22491665,CDD risk scoring,ragulan.nedumaran,ragulan.nedumaran,Rejected,,,,,,,,,,APPS 4.8,,,,,,,,,,,CDD Investigation,,,,,,,,,,,,,,,7.6.0.11,30/Jul/2019 04:26 AM,Environmental Issue
Defect,3 - Medium,APPS-15573,22491566,CLONE - 'Assign to me' Workflow action changes alert to Triage status (incorrect),harika.kurada,harika.kurada,Rejected,,,,,,,,,,APPS 4.6,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,7.2.0.14,29/Jul/2019 05:37 AM,Project Config Issue
Defect,3 - Medium,APPS-15572,22491449,"""Closed alert"" status doesn't function as desired for WLM alerts.",ragulan.nedumaran,ragulan.nedumaran,Resolved,APPS 8.1,,,,,,,,,APPS 4.8,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,7.6.0.11,26/Jul/2019 04:56 AM,Fixed
Defect,4 - Low,APPS-15571,22491283,[APPSDEV-4682] Floating point numbers in CDD Score,KRotter,KRotter,New,,,,,,,,,,APPS 4.8,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,7.5.0.10,24/Jul/2019 10:24 AM,
Defect,3 - Medium,APPS-15570,22491270,CLONE - Processing model - shared list definition,mrogacki1,mrogacki1,Rejected,,,,,,,,,,APPS 5.0,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,8.0.0.2,24/Jul/2019 08:47 AM,Duplicate
Defect,3 - Medium,APPS-15569,22491269,Processing model - shared list definition,KYadav,mrogacki1,New,,,,,,,,,,APPS 5.0,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,8.0.0.2,24/Jul/2019 08:44 AM,
Defect,3 - Medium,APPS-15567,22491219,[APPSDEV-4708][ZNB-140] - SAR Form Non-US Financial Institution,,raghav.pillai,Closed,APPS 2.3,,,,,,,,,APPS 2.3,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,6.1.2.116,23/Jul/2019 02:54 PM,Fixed
Defect,3 - Medium,APPS-15565,22491155,CLONE - CLONE - Related Cases tab does not display unassigned cases,,harika.kurada,Closed,,,,,,,,,,APPS 4.6,,,,,,,,,,,Investigator - Cases,,,,,,,,,,,,,,,7.2.0.14,23/Jul/2019 01:28 AM,Duplicate
Defect,3 - Medium,APPS-15564,22491046,AMLOPT - Livy running on different node where SMBD is located,,IKhalili,Closed,,,,,,,,,,APPS 4.8,,,,,,,,,,,AML Optimization,,,,,,,,,,,,,,,7.5.0.12,22/Jul/2019 10:25 AM,Fixed
Defect,3 - Medium,APPS-15562,22490916, Screen - Inconsistent Transaction date on Customer vs Account,lan.doan,lan.doan,Rejected,,,,,,,,,,APPS 4.7,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,c1.0.5,19/Jul/2019 11:10 AM,Duplicate
Defect,3 - Medium,APPS-15561,22490908,Screen Internationalization GR and CO text in WLM alert match info,lan.doan,lan.doan,Resolved,COMPL 8.1.1,,,,,,,,,APPS 4.7,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,c1.0.5,19/Jul/2019 10:53 AM,Fixed
Defect,4 - Low,APPS-15560,22490342,Workflow - Link Transaction to current alert (Single) audit log does not match with the spec,jaadlington,lan.doan,Assigned,,,,,,,,,,APPS 4.7,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,c1.0.5,17/Jul/2019 11:01 AM,
Defect,3 - Medium,APPS-15559,22489972,[APPSDEV-4691] Screen - Transaction date on Customer vs Account,KYadav,lan.doan,Assigned,,,,,,,,,,APPS 4.7,,,,,,,,,,,Investigator - Accounts,Investigator - Transactions,,,,,,,,,,,,,,c1.0.5,12/Jul/2019 04:04 PM,
Defect,3 - Medium,APPS-15558,22489956,Alert tagging: contributed transactions not shown in Contributed Transactions section,,paulina.zbikowska,Closed,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,not known,12/Jul/2019 01:08 PM,Client Data Issue
Defect,3 - Medium,APPS-15551,22489745,CLONE - Related Cases tab does not display unassigned cases,,harika.kurada,Closed,,,,,,,,,,APPS 4.6,,,,,,,,,,,Investigator - Cases,,,,,,,,,,,,,,,7.2.0.14,10/Jul/2019 03:32 AM,Duplicate
Defect,3 - Medium,APPS-15550,22489516,[APPSDEV-4758] Wrong Customer Orgunit by Manual CDD Rescore,KYadav,SSzarkowicz,New,,,,,,,,,,APPS 4.3,APPS 5.0,,,,,,,,,,CDD Investigation,,,,,,,,,,,,,,,7.2.x,08/Jul/2019 09:40 AM,
Defect,3 - Medium,APPS-15549,22489504,Assemble and View Alert Information section throws error for Alerts that are generated via SingleLookUp.,MDonder,BPotam,New,,,,,,,,,,APPS 4.8,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,7.6.0.6,08/Jul/2019 06:06 AM,
Defect,3 - Medium,APPS-15548,22489503,[APPSDEV-4575] All the transaction chart sections have incorrect RUN_DATE field reference ,BPotam,BPotam,Resolved,APPS 8.1,,,,,,,,,APPS 4.8,,,,,,,,,,,AML,EIM Framework,,,,,,,,,,,,,,7.6.0.6,08/Jul/2019 05:57 AM,Fixed
Defect,3 - Medium,APPS-15544,22489108,[APPSDEV-4576]Move jobs ProductSourceTypeFileDiscovery and ProductFileDiscovery before AccountFileDiscovery,JRajek,JRajek,Rejected,,,,,,,,,,APPS 5.0,,,,,,,,,,,Acquisition and IFS,,,,,,,,,,,,,,,APPS 5.0,03/Jul/2019 09:50 AM,Duplicate
Defect,3 - Medium,APPS-15543,22488799,[FCENG-9612]Alert Tagging: More than one transaction displayed in Contributing Transactions section for FETR detection,,paulina.zbikowska,Closed,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,Not known,01/Jul/2019 02:30 PM,Duplicate
Defect,3 - Medium,APPS-15542,22488769,[APPSDEV-4566]Alert Tagging: Contributing Transactions section not cleared after opening new alert,,paulina.zbikowska,Closed,APPS 8.1,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,Not known,01/Jul/2019 11:19 AM,Fixed
Defect,2 - High,APPS-15537,22487961,Alert Generation Tool created over 23k high score alerts after 4.8 upgrade,ARajski,ARajski,Resolved,APPS 5.0,,,,,,,,,APPS 4.8,,,,,,,,,,,AML,,,,,,,,,,,,,,,7.6.0.9,21/Jun/2019 06:39 AM,Fixed
Defect,3 - Medium,APPS-15536,22487896,[APPSDEV-4696] Transaction screen - Account type value,KYadav,lan.doan,New,,,,,,,,,,APPS 4.9,,,,,,,,,,,Investigator - Screens,,,,,,,,,,,,,,,apps 4.9,20/Jun/2019 11:56 AM,
Defect,3 - Medium,APPS-15532,22487593,[BMOSUP-369] - Cross domain alert and case linking,,parfait.swanamulopwe,Rejected,,,,,,,,,,APPS 4.6.0.1,,,,,,,,,,,CDD Investigation,,,,,,,,,,,,,,,7.4.0.14,18/Jun/2019 02:37 PM,Not an issue
Defect,3 - Medium,APPS-15529,22487440,[APPSDEV-4411]CB Alert Detail - Key Parties tab missing data,TFortin,TFortin,Resolved,APPS 8.1,,,,,,,,,APPS 4.8,APPS 4.9,APPS 5.0,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,5.0.0,17/Jun/2019 11:21 AM,Fixed
Defect,3 - Medium,APPS-15528,22487064,[APPSDEV-4436]PRODUCT and PRODUCT_SOURCE_TYPE loads after ACCOUNT,KYadav,KRotter,New,,,,,,,,,,APPS 4.7,,,,,,,,,,,Acquisition and IFS,,,,,,,,,,,,,,,7.5.0.10,14/Jun/2019 01:30 PM,
Defect,3 - Medium,APPS-15527,22487062,ALERT_REASON table miss an index,KRotter,KRotter,Resolved,COMPL 8.3,,,,,,,,,APPS 4.7,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,7.5.0.10,14/Jun/2019 01:01 PM,Fixed
Defect,3 - Medium,APPS-15526,22486858,Unable to display monthly Detection,,inez.firlik,Closed,,,,,,,,,,APPS 5.0,,,,,,,,,,,DUX,,,,,,,,,,,,,,,5.0.0.0,13/Jun/2019 09:49 AM,Fixed
Defect,4 - Low,APPS-15522,22486815,[APPSDEV-4522][EUS000316-216]AML:  Reason Code for “Close” (Reported) action not per EIM Documentation ,suzanne.leary,suzanne.leary,Resolved,APPS 4.9,APPS 5.0,APPS 8.1,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,CDD Investigation,EIM Framework,,,,,,,,,,,,,7.7,12/Jun/2019 09:03 PM,Fixed
Defect,4 - Low,APPS-15520,22486548,"CLONE - WLM alert details screen has ambiguous tabs for Documents, notes and audit log",ASundararajan,ASundararajan,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,7.7,10/Jun/2019 03:13 PM,Not an issue
Defect,3 - Medium,APPS-15519,22486544,"CLONE - AML: QA User should not be able to ""Update Associated Party"" ",suzanne.leary,suzanne.leary,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,7.7,10/Jun/2019 02:38 PM,Duplicate
Defect,3 - Medium,APPS-15518,22486538,"CLONE - AML: QA User should not be able to perform ""Info Received"" key action. ",suzanne.leary,suzanne.leary,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,7.7,10/Jun/2019 02:11 PM,Duplicate
Defect,3 - Medium,APPS-15513,22486184,"CLONE - AML: QA user should not be able to ""Add Document"" or ""Remove Document""",suzanne.leary,suzanne.leary,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,7.7,05/Jun/2019 08:55 PM,Duplicate
Defect,3 - Medium,APPS-15511,22486008,CLONE - Alert Type is blank in Command and Control Reports,,harika.kurada,Closed,,,,,,,,,,APPS 4.6,,,,,,,,,,,Command and Control,WLM Investigation,,,,,,,,,,,,,,7.2.0.14,05/Jun/2019 07:08 AM,Complete
Defect,3 - Medium,APPS-15510,22485985,[EUS000316-139]User is not able to link alert to Another Alert,sveta.chapurnaya,sveta.chapurnaya,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,7.7,04/Jun/2019 09:31 PM,Not an issue
Defect,3 - Medium,APPS-15509,22485979,"[EUS000316-198]AML: QA User should not be able to perform ""Link to Existing Minor Group"" Mass Action",,suzanne.leary,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,7.7,04/Jun/2019 08:33 PM,Duplicate
Defect,3 - Medium,APPS-15508,22485912,[EUS000316-133]User is not able to see Delegate Task action in Audit log,sveta.chapurnaya,sveta.chapurnaya,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,Investigator - Tasks,,,,,,,,,,,,,,,7.7,04/Jun/2019 03:38 PM,Not an issue
Defect,3 - Medium,APPS-15507,22485902,[APPSDEV-4280] [BMOSUP-368]- Case Description is being truncated on the customer screen ,KYadav,parfait.swanamulopwe,New,,,,,,,,,,APPS 4.6.0.1,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,7.4.0.14 ,04/Jun/2019 02:25 PM,
Defect,3 - Medium,APPS-15506,22485839,[PLAT-22730] CLONE - CUTOMERS/CUSTOMER_ADDRESSES Table FULL_ADDRESS filed is populating as '!' instead of 'NOT',KYadav,harika.kurada,Assigned,,,,,,,,,,APPS 4.6,,,,,,,,,,,Acquisition and IFS,Investigator - Customers/Subjects,,,,,,,,,,,,,,7.2.0.14 ,04/Jun/2019 07:14 AM,
Defect,3 - Medium,APPS-15505,22485821,CLONE - ALM Cases: Delete Associated Party - Grey Out for Supervisors & Investigators,,suzanne.leary,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,7.7,03/Jun/2019 09:57 PM,Not an issue
Defect,3 - Medium,APPS-15504,22485820,CLONE - ALM QA User should not be able to Create a Case ,,suzanne.leary,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,7.7,03/Jun/2019 09:53 PM,Duplicate
Defect,4 - Low,APPS-15503,22485819,[DOC][APPSDEV-4290][EUS000316-178]Change case type button is not available for investigator/supervisor for ODD cases,KYadav,ASundararajan,New,,,,,,,,,,APPS 4.9,,,,,,,,,,,CDD Investigation,,,,,,,,,,,,,,,7.7,03/Jun/2019 09:32 PM,
Defect,3 - Medium,APPS-15502,22485818,[EUS000316-181]Assign key action on CDD ODD cases shows irrelevant groups to assign to,ASundararajan,ASundararajan,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,CDD Investigation,,,,,,,,,,,,,,,7.7,03/Jun/2019 09:23 PM,Not an issue
Defect,3 - Medium,APPS-15501,22485816,"CLONE - AML: QA User should not be able to ""Generate Correspondence"" ",,suzanne.leary,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,,,,,,,,,,,,,,,7.7.0.1,03/Jun/2019 09:13 PM,Duplicate
Defect,3 - Medium,APPS-15500,22485809,[EUS000316-175] User with QA Login Should not be able to Change Relationship Type ,suzanne.leary,suzanne.leary,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,AML Investigation,CDD Investigation,,,,,,,,,,,,,,7.7,03/Jun/2019 07:35 PM,Duplicate
Defect,3 - Medium,APPS-15499,22485715,CLONE - Watchperson deatils are not displaying/refreshing when navigating through Watch List Entry ID - Internal Watchlists,,harika.kurada,Closed,,,,,,,,,,APPS 4.6,,,,,,,,,,,Investigator - Alerts,WLM Investigation,,,,,,,,,,,,,,7.2.0.14,03/Jun/2019 02:44 AM,Configuration Issue
Defect,3 - Medium,APPS-15496,22485592,[EUS000316-156] Test Case - Link to Another Alert,SShenoy,SShenoy,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,EIM Framework,,,,,,,,,,,,,,,7.7,30/May/2019 10:02 PM,Not an issue
Defect,3 - Medium,APPS-15495,22485579,[EUS000316-150] Due date for task is defaulted to previous date on creating from My tasks screen,TKukushkina,ASundararajan,Assigned,,,,,,,,,,APPS 4.9,,,,,,,,,,,EIM Framework,Investigator - Tasks,,,,,,,,,,,,,,7.7,30/May/2019 05:53 PM,
Defect,3 - Medium,APPS-15494,22485554,[MTBF-56] - SAR Attachment to FinCEN,,raghav.pillai,Closed,,,,,,,,,,APPS 4.1,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,7.1.1.10,30/May/2019 12:07 PM,Fixed
Defect,3 - Medium,APPS-15493,22485450,Interactive List section - filtering based on a field with Percent Field Formatter type does not work properly  ,MDonder,laura.figurniak,New,,,,,,,,,,APPS 4.8,,,,,,,,,,,WLM Investigation,,,,,,,,,,,,,,,Platform: 7.7.0.7 ,29/May/2019 11:56 AM,
Defect,3 - Medium,APPS-15490,22485329,Wrong condition in HomeInstaller,DTurowski,JRajek,New,,,,,,,,,,APPS 5.0,,,,,,,,,,,Build Delivery and Build Notes ,,,,,,,,,,,,,,,ApplicationHomeInstaller/tags/5.0.0,28/May/2019 11:45 AM,
Defect,3 - Medium,APPS-15488,22485064,CDD Shared Lists Access - no org unit filtering (AXA GC),,radoslaw.malinowski,Closed,,,,,,,,,,APPS 5.0,,,,,,,,,,,CDD Investigation,CDD Scoring,,,,,,,,,,,,,,8.0.0.1,24/May/2019 08:50 AM,Duplicate
Defect,3 - Medium,APPS-15487,22485034,[EUS000316-122] SAR PDF -  Nothing happens on Clicking links ( which suppose to take user to appropriate section ) in PDF,ASundararajan,ASundararajan,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,7.7,23/May/2019 09:51 PM,Done
Defect,3 - Medium,APPS-15486,22485032,[EUS000316-121] State code does not show up in PDF or efile thereby generating a warning when filing with BSA,ASundararajan,ASundararajan,Rejected,,,,,,,,,,APPS 4.9,,,,,,,,,,,FinCEN SAR Solution,,,,,,,,,,,,,,,7.7,23/May/2019 09:36 PM,Environmental Issue
Defect,3 - Medium,APPS-15485,22485009,[WLM TF][Screens and Workflow]Update Upper limit to 2000 for email body,lan.doan,lan.doan,Resolved,APPS 8.1,,,,,,,,,APPS 4.7,APPS 4.8,APPS 4.9,APPS 5.0,,,,,,,,Investigator - Screens,WLM Investigation,,,,,,,,,,,,,,c1.0.4,23/May/2019 04:47 PM,Fixed
Defect,3 - Medium,APPS-15483,22484950,[APPSDEV-4163]Unable to change review period (days),inez.firlik,inez.firlik,Resolved,APPS 5.0,,,,,,,,,APPS 5.0,,,,,,,,,,,CDD Scoring,,,,,,,,,,,,,,,8.0.0.1,23/May/2019 10:18 AM,Fixed
Defect,2 - High,APPS-15482,22484857,conf/monitoring/Testdata/scheduleconfig_Testdata.xml is causing errors,stephane.baudet,stephane.baudet,Rejected,,,,,,,,,,APPS 5.0,,,,,,,,,,,Investigator - Workflow,,,,,,,,,,,,,,,5.0.0.0,22/May/2019 03:19 PM,Project Config Issue
Defect,2 - High,APPS-15480,22484653,"CLONE - Out-of-the-box ""PFET_PaymentStagingBatchBridge job"" configuration can cause the job to incorrectly stop running.",maninder.virdee,maninder.virdee,Rejected,,,,,,,,,,APPS 4.4.1,,,,,,,,,,,Fraud - Payment Fraud Investigation,,,,,,,,,,,,,,,7.3.1.5,21/May/2019 02:37 PM,Won't Fix
Defect,2 - High,APPS-15479,22484644,"CLONE - On processing a bad Payment record, the Svc Mgr sequence called by the *PFET Staging Schedule* leaves valid Payments on the PFET_PAYMENTS_STG table",nishant.kavuru@boi.com,nishant.kavuru@boi.com,Rejected,,,,,,,,,,APPS 4.4.1,,,,,,,,,,,Fraud - Payment Fraud Investigation,,,,,,,,,,,,,,,7.3.1.5,21/May/2019 02:10 PM,Won't Fix
Defect,4 - Low,APPS-15478,22484628,"[FCENG-8487] CLONE - ""Beneficiary"" word spelling is incorrect (""beneficary"") in the Alert Info for Scenario ""PF33 - Confirmed Fraud to this beneficiary account in the past 12 months""",krzysztof.konieczny,santanu.debnath,New,,,,,,,,,,APPS 4.4.1,,,,,,,,,,,Fraud - Payment Fraud Investigation,,,,,,,,,,,,,,,7.3.1.5,21/May/2019 11:59 AM,
Defect,3 - Medium,APPS-15476,22484608,"[FCENG-8490] CLONE - Payment Details screen can show an incorrect ""WebEventID"" hyperlink in some situations.",santanu.debnath,santanu.debnath,Resolved,APPS 8.1,,,,,,,,,APPS 4.4.1,,,,,,,,,,,Fraud - Payment Fraud Investigation,,,,,,,,,,,,,,,7.3.1.5,21/May/2019 11:16 AM,Fixed
Defect,3 - Medium,APPS-15475,22484591,"[FCENG-8488] CLONE - ONLINE_USERS Batchbridge load is incorrectly (and silently) truncating data provided in the fields ONLINE_USER_ID, ONLINE_USER_SOURCE_REF_ID",santanu.debnath,santanu.debnath,Resolved,APPS 8.1,,,,,,,,,APPS 4.4.1,,,,,,,,,,,Fraud - Payment Fraud Investigation,,,,,,,,,,,,,,,7.3.1.5,21/May/2019 09:45 AM,Fixed
